"latitude1";"longitude1";"nbpersonne1";"latitude2";"longitude2"
45.45;-0.75;9;45.1667;0.7
44.8167;3.71667;7;44.9;2.46667
45.5;5.5;2;45.5667;5.9
46.15;0.4;3;45.1667;0.7
43.3;0.033333;5;45.1667;0.7
47.65;6.73333;4;48.6833;5.9
49.75;0.966667;5;49.35;0.516667
43.2333;0.083333;10;45.1667;0.7
48.4833;2.6;5;49.0833;2.68333
47.0667;5.9;5;47.4833;3.9
48.95;5.3;4;48.6833;5.9
47.3333;2.83333;1;47.4833;3.9
43.175;1.86667;7;43.7167;3.31667
46.4333;5;4;45.5667;5.9
44.0833;7.1;4;45.5667;5.9
49.9667;3.05;7;49.8667;2.35
48.95;5.51667;7;48.6833;5.9
49.2833;0.8;9;49.35;0.516667
49.2333;3.05;4;49.0833;2.68333
44.075;3.39167;5;43.7167;3.31667
46.5833;-1.18333;4;47.2;-1.43333
48.7667;5.23333;3;48.6833;5.9
44.3;4.56667;4;43.7167;3.31667
49.0667;5.41667;6;48.6833;5.9
49.8;3;2;49.8667;2.35
50.1;3.85;6;49.8667;2.35
43.0167;0.6;5;43.7167;3.31667
47.45;3.66667;8;47.4833;3.9
47.85;2.75;5;47.4833;3.9
48.6667;6.93333;7;48.6833;5.9
42.9833;0.75;10;43.7167;3.31667
45.3167;1.18333;10;45.1667;0.7
46.8333;-1.76667;4;47.2;-1.43333
48.4167;3.66667;9;49.0833;2.68333
47.7333;-0.516667;2;47.2;-1.43333
48.9667;6.65;3;48.6833;5.9
47.5;1.46667;1;47.4833;3.9
45.95;6.43333;3;45.5667;5.9
49;2.51667;5;49.0833;2.68333
46.8167;4.96667;8;47.4833;3.9
44.4;0.6;1;45.1667;0.7
45.75;0.45;7;45.1667;0.7
48.7167;-1.11667;2;49.35;0.516667
47.5167;5.51667;2;47.4833;3.9
49.8167;1.08333;1;49.35;0.516667
47.65;-2.06667;2;47.2;-1.43333
46.7833;-1.43333;3;47.2;-1.43333
49.55;2.01667;2;49.8667;2.35
46.6833;3.81667;6;47.4833;3.9
48.8;6.66667;8;48.6833;5.9
45.2;1.96667;9;44.9;2.46667
49.1167;2.6;9;49.0833;2.68333
49.7667;3.4;3;49.0833;2.68333
43.5833;3.43333;1;43.7167;3.31667
47.9;5.7;6;48.6833;5.9
44.0587;4.18445;8;43.7167;3.31667
46.7667;5.16667;3;47.4833;3.9
46.3;4.68333;7;45.5667;5.9
43.8667;6.76667;7;45.5667;5.9
44.2667;5.11667;1;45.5667;5.9
44.8;1.63333;10;44.9;2.46667
47;3.58333;2;47.4833;3.9
48.9583;4.36667;8;49.0833;2.68333
50.8333;1.9;6;49.8667;2.35
49.9333;2.81667;10;49.8667;2.35
50.15;2.95;8;49.8667;2.35
48.6667;2.85;6;49.0833;2.68333
44.15;1.88333;6;44.9;2.46667
49.2333;-0.233333;5;49.35;0.516667
43.925;3.7;6;44.9;2.46667
49.7667;2.26667;10;49.8667;2.35
49.5;2.9;5;49.0833;2.68333
45.2;5.26667;4;45.5667;5.9
44.2333;3.56667;6;43.7167;3.31667
48.45;5.38333;5;48.6833;5.9
44.55;-0.033333;4;45.1667;0.7
45.9833;4.81667;5;45.5667;5.9
48.2333;0.033333;2;49.35;0.516667
48.45;-2.56667;6;47.2;-1.43333
47.4667;3.55;4;47.4833;3.9
43.8;7.03333;3;45.5667;5.9
49.6167;4.96667;2;48.6833;5.9
46.9833;0.516667;2;47.2;-1.43333
46.5833;4.66667;3;47.4833;3.9
47.9;-2.63333;8;47.2;-1.43333
45.4667;5.96667;10;45.5667;5.9
43.2333;-1.2;2;45.1667;0.7
47.1333;0.483333;5;47.2;-1.43333
44.4667;3.76667;8;44.9;2.46667
44.8167;1.3;7;45.1667;0.7
44.0333;7.13333;2;45.5667;5.9
48.8;0.383333;7;49.35;0.516667
46.7;-0.616667;6;47.2;-1.43333
44.2333;4.13333;5;43.7167;3.31667
45.75;2.43333;3;44.9;2.46667
43.4;3.36667;6;43.7167;3.31667
49.85;2.78333;9;49.8667;2.35
49.7333;0.85;9;49.35;0.516667
43.85;3.38333;3;43.7167;3.31667
49.4167;4.63333;4;48.6833;5.9
